央视频道,#genre#
广东卫视,http://101.66.195.105:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://101.66.199.251:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://183.131.246.250:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://119.130.241.9:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://123.174.106.183:8888/rtp/239.1.1.49:8049
广东卫视,http://114.222.251.120:4023/rtp/239.49.8.13:9422
广东卫视,http://222.185.98.96:888/rtp/239.49.1.39:6000
广东卫视,http://222.185.98.96:888/rtp/239.49.0.55:8432
广西卫视,http://171.14.89.243:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://101.66.195.105:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://125.43.244.1:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://123.52.14.64:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://114.222.251.120:4023/rtp/239.49.8.10:8000
广西卫视,http://112.193.69.160:8888/rtp/239.0.0.185:5140
广西卫视,http://222.185.98.96:888/rtp/239.49.1.40:6000
广西卫视,http://222.185.98.96:888/rtp/239.49.0.56:8440
影视旅游,http://218.87.237.105:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
影视旅游,http://218.87.237.106:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://171.14.89.243:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://218.87.237.105:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://218.87.237.106:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://222.185.98.96:888/rtp/239.49.1.239:6000
旅游卫视,http://218.87.237.106:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0
旅游卫视,http://171.14.89.243:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://218.87.237.105:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0
旅游卫视,http://222.185.98.96:888/rtp/239.49.0.57:8448
早期教育,http://218.87.237.106:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
早期教育,http://218.87.237.105:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
杭州影视,http://101.66.195.105:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
杭州影视,http://101.66.199.251:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
欢腾购物,http://171.14.89.243:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://101.66.195.105:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://101.66.199.251:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://221.13.235.209:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.52.14.64:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://119.130.241.9:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://123.174.106.183:8888/rtp/239.1.1.35:8035
江苏卫视,http://114.222.251.120:4023/rtp/239.49.8.16:9602
江苏卫视,http://60.168.244.54:8888/rtp/238.1.78.165:7192
江苏卫视,http://220.169.100.41:10087/rtp/239.76.253.181:9000
江苏卫视,http://120.197.253.254:1818/rtp/239.20.0.170:2138
江苏卫视,http://222.185.98.96:888/rtp/239.49.1.16:6000
